Model,MSO2024
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.2
Label,,
TIME,CH1,CH2
-4.96359e-05,0.008,7.62939e-09
-4.96349e-05,0.008,-0.00799999
-4.96339e-05,0.008,7.62939e-09
-4.96329e-05,0.008,-0.00799999
-4.96319e-05,0.008,7.62939e-09
-4.96309e-05,0.008,-0.00799999
-4.96299e-05,0.008,7.62939e-09
-4.96289e-05,0.008,-0.00799999
-4.96279e-05,0.008,7.62939e-09
-4.96269e-05,0.008,-0.00799999
-4.96259e-05,0.008,7.62939e-09
-4.96249e-05,0.008,-0.00799999
-4.96239e-05,0.008,7.62939e-09
-4.96229e-05,0.008,-0.00799999
-4.96219e-05,0.008,7.62939e-09
-4.96209e-05,0.008,-0.00799999
-4.96199e-05,0.008,7.62939e-09
-4.96189e-05,0.008,-0.00799999
-4.96179e-05,0.008,7.62939e-09
-4.96169e-05,0.008,-0.00799999
-4.96159e-05,0.008,7.62939e-09
-4.96149e-05,0.008,-0.016
-4.96139e-05,0.008,7.62939e-09
-4.96129e-05,0.008,-0.00799999
-4.96119e-05,0.008,7.62939e-09
-4.96109e-05,0.008,-0.00799999
-4.96099e-05,0.008,7.62939e-09
-4.96089e-05,0.008,-0.00799999
-4.96079e-05,0.008,7.62939e-09
-4.96069e-05,0.008,-0.00799999
-4.96059e-05,0.008,7.62939e-09
-4.96049e-05,0.008,-0.00799999
-4.96039e-05,0.008,7.62939e-09
-4.96029e-05,0.008,-0.00799999
-4.96019e-05,0.008,7.62939e-09
-4.96009e-05,0.008,-0.00799999
-4.95999e-05,0.008,7.62939e-09
-4.95989e-05,0.008,-0.00799999
-4.95979e-05,0.008,7.62939e-09
-4.95969e-05,0.008,-0.00799999
-4.95959e-05,0.008,7.62939e-09
-4.95949e-05,0.008,-0.00799999
-4.95939e-05,0.008,7.62939e-09
-4.95929e-05,0.008,-0.00799999
-4.95919e-05,0.008,7.62939e-09
-4.95909e-05,0.008,-0.00799999
-4.95899e-05,0.008,7.62939e-09
-4.95889e-05,0.008,-0.00799999
-4.95879e-05,0.008,7.62939e-09
-4.95869e-05,0.008,-0.00799999
-4.95859e-05,0.008,7.62939e-09
-4.95849e-05,0.008,-0.00799999
-4.95839e-05,0.008,7.62939e-09
-4.95829e-05,0.008,-0.00799999
-4.95819e-05,0.008,7.62939e-09
-4.95809e-05,0.008,-0.00799999
-4.95799e-05,0.008,7.62939e-09
-4.95789e-05,0.008,-0.00799999
-4.95779e-05,0.008,7.62939e-09
-4.95769e-05,0,-0.00799999
-4.95759e-05,0.008,7.62939e-09
-4.95749e-05,0.008,-0.00799999
-4.95739e-05,0.008,7.62939e-09
-4.95729e-05,0.008,-0.00799999
-4.95719e-05,0.008,7.62939e-09
-4.95709e-05,0.008,-0.00799999
-4.95699e-05,0.008,7.62939e-09
-4.95689e-05,0.008,-0.00799999
-4.95679e-05,0.008,7.62939e-09
-4.95669e-05,0.008,-0.00799999
-4.95659e-05,0.008,7.62939e-09
-4.95649e-05,0.008,-0.00799999
-4.95639e-05,0.016,7.62939e-09
-4.95629e-05,0.008,-0.00799999
-4.95619e-05,0.008,7.62939e-09
-4.95609e-05,0.008,-0.00799999
-4.95599e-05,0.008,7.62939e-09
-4.95589e-05,0.008,-0.00799999
-4.95579e-05,0.008,7.62939e-09
-4.95569e-05,0,7.62939e-09
-4.95559e-05,0.008,7.62939e-09
-4.95549e-05,0.008,-0.00799999
-4.95539e-05,0.008,7.62939e-09
-4.95529e-05,0.008,-0.00799999
-4.95519e-05,0.008,7.62939e-09
-4.95509e-05,0.008,-0.00799999
-4.95499e-05,0.008,7.62939e-09
-4.95489e-05,0.008,-0.00799999
-4.95479e-05,0.008,7.62939e-09
-4.95469e-05,0.008,-0.00799999
-4.95459e-05,0.008,7.62939e-09
-4.95449e-05,0.008,-0.00799999
-4.95439e-05,0.008,7.62939e-09
-4.95429e-05,0.008,-0.00799999
-4.95419e-05,0.008,7.62939e-09
-4.95409e-05,0.008,-0.00799999
-4.95399e-05,0.008,7.62939e-09
-4.95389e-05,0.008,-0.00799999
-4.95379e-05,0.008,7.62939e-09
-4.95369e-05,0.008,-0.00799999
-4.95359e-05,0.008,7.62939e-09
-4.95349e-05,0.008,-0.00799999
-4.95339e-05,0.008,7.62939e-09
-4.95329e-05,0.008,-0.00799999
-4.95319e-05,0.008,7.62939e-09
-4.95309e-05,0.008,-0.00799999
-4.95299e-05,0.008,7.62939e-09
-4.95289e-05,0.008,-0.00799999
-4.95279e-05,0.008,7.62939e-09
-4.95269e-05,0.008,-0.00799999
-4.95259e-05,0.008,7.62939e-09
-4.95249e-05,0.008,-0.00799999
-4.95239e-05,0.008,7.62939e-09
-4.95229e-05,0.008,-0.00799999
-4.95219e-05,0.008,7.62939e-09
-4.95209e-05,0.008,-0.00799999
-4.95199e-05,0.008,7.62939e-09
-4.95189e-05,0.008,-0.00799999
-4.95179e-05,0.008,7.62939e-09
-4.95169e-05,0.008,-0.00799999
-4.95159e-05,0.008,7.62939e-09
-4.95149e-05,0.008,-0.00799999
-4.95139e-05,0.008,7.62939e-09
-4.95129e-05,0.008,-0.00799999
-4.95119e-05,0.016,7.62939e-09
-4.95109e-05,0.008,-0.00799999
-4.95099e-05,0.008,7.62939e-09
-4.95089e-05,0.008,-0.00799999
-4.95079e-05,0.008,7.62939e-09
-4.95069e-05,0.008,-0.00799999
-4.95059e-05,0.008,7.62939e-09
-4.95049e-05,0.008,-0.00799999
-4.95039e-05,0.008,7.62939e-09
-4.95029e-05,0.008,-0.00799999
-4.95019e-05,0.008,7.62939e-09
-4.95009e-05,0.008,-0.00799999
-4.94999e-05,0.008,7.62939e-09
-4.94989e-05,0.008,-0.00799999
-4.94979e-05,0.008,7.62939e-09
-4.94969e-05,0.008,-0.00799999
-4.94959e-05,0.008,7.62939e-09
-4.94949e-05,0.008,-0.00799999
-4.94939e-05,0.008,7.62939e-09
-4.94929e-05,0.008,-0.00799999
-4.94919e-05,0.016,7.62939e-09
-4.94909e-05,0.008,-0.00799999
-4.94899e-05,0.016,7.62939e-09
-4.94889e-05,0.008,-0.00799999
-4.94879e-05,0.008,7.62939e-09
-4.94869e-05,0.008,-0.00799999
-4.94859e-05,0.008,7.62939e-09
-4.94849e-05,0.008,-0.00799999
-4.94839e-05,0.008,7.62939e-09
-4.94829e-05,0.008,-0.00799999
-4.94819e-05,0.008,7.62939e-09
-4.94809e-05,0.008,-0.00799999
-4.94799e-05,0.008,7.62939e-09
-4.94789e-05,0.008,-0.00799999
-4.94779e-05,0.008,7.62939e-09
-4.94769e-05,0.008,-0.00799999
